Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,60-64 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,65-69 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,70-74 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,75-79 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,80-84 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,85-89 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,90-94 years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,95+ years,Both,Maternal and neonatal disorders,"Deaths per 100,000",,,
All Population,Brazil,2023,0-6 days,Both,Nutritional deficiencies,"Deaths per 100,000",0,0,0
All Population,Brazil,2023,7-27 days,Both,Nutritional deficiencies,"Deaths per 100,000",0,0,0
All Population,Brazil,2023,1-5 months,Both,Nutritional deficiencies,"Deaths per 100,000",8.69680560875196,7.543410314100168,9.995446717737972
All Population,Brazil,2023,6-11 months,Both,Nutritional deficiencies,"Deaths per 100,000",3.328329084847383,2.7170944204775798,3.9817518187743204
All Population,Brazil,2023,12-23 months,Both,Nutritional deficiencies,"Deaths per 100,000",2.059830984388817,1.668454191296906,2.4766387231009594
All Population,Brazil,2023,2-4 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.6607789981927406,0.5406515754900504,0.8046952951036106
All Population,Brazil,2023,5-9 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.288625062138287,0.24416015350913334,0.34280359249047654
All Population,Brazil,2023,10-14 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.25649998398634766,0.21260118291609995,0.30346945809212406
All Population,Brazil,2023,15-19 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.2467007483164642,0.20873072066599382,0.28106074557423516
All Population,Brazil,2023,20-24 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.24895296503030648,0.21681049983615744,0.2879208077624379
All Population,Brazil,2023,25-29 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.288804928815565,0.2514363059091175,0.3281899261134475
All Population,Brazil,2023,30-34 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.31196720327449884,0.2787429122286078,0.35545218133371054
All Population,Brazil,2023,35-39 years,Both,Nutritional deficiencies,"Deaths per 100,000",0.4060723009174663,0.354326280653919,0.4769665685374676
